lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,logTau,tau,alpha_prior,tau_prior,alpha_prior_preds03,alpha_prior_preds07,alpha_prior_preds09,alpha_post_preds03,alpha_post_preds07,alpha_post_preds09,tau_prior_preds03,tau_prior_preds07,tau_prior_preds09,tau_post_preds03,tau_post_preds07,tau_post_preds09
# Adaptation terminated
# Step size = 0.131451
# Diagonal elements of inverse mass matrix:
# 3.61301, 0.826118
-3.39042,0.999997,0.131451,5,31,0,3.9734,0.482166,1.84068,6.30081,0.346541,1.29573,0,1,0,1,1,1,0,1,1,0,1,1
-3.02191,0.997813,0.131451,3,7,0,3.62424,0.495088,1.49644,4.46577,1.07998,0.684711,1,1,0,1,1,0,0,1,1,0,0,1
-3.65775,0.989967,0.131451,3,7,0,4.24426,0.423936,2.01474,7.4988,0.379226,0.0906448,1,0,1,0,1,0,1,0,1,1,0,0
-3.05836,1,0.131451,3,7,0,3.80614,0.570849,1.51576,4.55288,0.685767,0.51602,0,1,0,0,1,1,0,1,1,0,1,1
-3.32373,0.98955,0.131451,3,7,0,4.09469,0.516065,1.78808,5.97794,0.747824,-0.147483,1,1,1,0,1,1,1,1,1,1,0,0
-6.11091,0.987397,0.131451,4,31,0,6.57321,0.989473,0.666789,1.94797,0.582761,-0.2154,0,0,0,0,1,1,0,0,1,0,1,1
-6.36789,0.999833,0.131451,4,15,0,6.95281,0.991586,1.42704,4.16636,1.27593,-0.378031,0,0,1,1,1,1,0,1,1,1,0,1
-4.87426,0.995446,0.131451,3,15,0,7.64928,0.964757,0.741571,2.09923,-0.381954,-0.287823,0,0,0,0,0,1,1,0,1,0,1,1
-3.35621,0.999937,0.131451,3,15,0,5.04173,0.825421,1.00606,2.7348,-0.00337239,0.610912,1,1,0,0,1,0,1,0,1,0,1,1
-3.28415,0.99792,0.131451,4,15,0,4.18685,0.803563,1.14126,3.1307,0.822482,0.125206,0,0,1,1,1,0,0,0,1,1,0,1
-3.00815,0.999968,0.131451,3,11,0,3.31446,0.713547,1.03933,2.82732,1.07021,-0.707464,0,1,1,0,1,1,0,1,1,0,0,1
-2.94022,0.99782,0.131451,4,31,0,3.8805,0.401056,1.3226,3.75317,1.20448,1.73174,0,0,1,0,1,1,1,1,1,0,0,0
-3.06871,0.998545,0.131451,4,15,0,3.37825,0.282141,0.77944,2.18025,-0.147497,0.147983,0,0,1,0,1,0,1,1,1,0,1,1
-4.68486,0.994473,0.131451,4,15,0,5.51068,0.91638,1.92446,6.85145,0.837322,1.33127,0,1,1,0,1,1,0,1,1,1,0,1
-4.73715,0.998929,0.131451,3,7,0,5.07992,0.936942,1.76493,5.84119,0.218463,1.43094,0,1,0,0,1,1,1,1,0,1,1,1
-3.79892,0.986084,0.131451,3,7,0,5.96156,0.85096,1.60517,4.97869,1.09962,0.620498,0,1,1,0,1,1,1,1,1,0,1,1
-3.4482,0.999991,0.131451,4,15,0,4.29699,0.161721,0.829477,2.29212,1.06956,1.19519,0,1,1,0,1,0,0,0,1,0,0,0
-5.99636,0.993071,0.131451,4,23,0,6.66529,0.9496,0.131426,1.14045,0.23153,-0.161125,0,0,0,0,1,1,0,1,0,0,1,1
-4.74758,0.994426,0.131451,4,15,0,11.4061,0.0375654,1.09457,2.9879,0.0863747,1.05149,0,1,1,0,1,1,0,0,0,0,0,1
-4.39301,0.993378,0.131451,4,31,0,6.67377,0.699704,0.149141,1.16084,-0.87319,0.666931,1,0,0,0,1,1,0,0,0,1,1,1
-4.37962,0.999999,0.131451,3,7,0,4.39765,0.70055,0.151447,1.16352,0.234328,-0.0277825,0,0,1,0,1,1,0,0,1,1,1,1
-4.03131,0.999329,0.131451,4,31,0,4.53115,0.436616,0.183975,1.20199,0.343563,0.272998,0,0,0,0,1,1,0,1,1,0,1,1
-3.82249,1,0.131451,3,15,0,4.1266,0.437542,0.228691,1.25695,0.268236,1.0607,0,0,1,0,0,0,0,1,0,1,1,1
