# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:28:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c5566696718.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061328-1-47c5a0.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061328-1-096bb3.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.335967
# Diagonal elements of inverse mass matrix:
# 0.256348, 1.2261
-1601.91,0.994951,0.335967,3,7,0,1602.08,0.407994,0.00143933,1.00144,0.828765,8.69116,1,1,0,1,-0.0501163,0.0296691,0.997823,0.499659,0.500341,-1731.67
-1600.62,0.993758,0.335967,3,7,0,1602.66,0.547747,0.00189304,1.00189,0.0302148,6.91857,1,1,0,1,-0.0229143,0.0103631,0.999804,0.499538,0.500462,-1731.5
-1600.25,0.99615,0.335967,3,15,0,1600.95,0.685756,0.00356706,1.00357,0.110301,8.40571,0,1,1,1,-0.00668708,0.00210137,0.999994,0.499114,0.500886,-1730.88
-1599.51,1,0.335967,3,7,0,1600.39,0.621757,0.0249281,1.02524,0.190872,3.46946,0,1,1,1,-0.0127264,0.00481367,0.999963,0.493848,0.506152,-1723.35
-1600.81,0.930881,0.335967,4,15,0,1601.85,0.474749,0.00241702,1.00242,0.992795,0.910511,1,1,0,1,-0.0361355,0.0189802,0.999239,0.499418,0.500582,-1731.33
-1600.76,0.999213,0.335967,2,3,0,1601.04,0.499178,0.0020992,1.0021,0.112663,5.24325,0,1,0,1,-0.0314044,0.015728,0.999503,0.499492,0.500508,-1731.43
-1601.63,0.98411,0.335967,3,7,0,1602.07,0.378706,0.00301775,1.00302,0.376326,6.56602,1,1,1,1,-0.0564342,0.0350622,0.996709,0.499291,0.500709,-1731.13
-1601.04,0.999882,0.335967,4,15,0,1602.62,0.797854,0.0148939,1.01501,0.0795007,8.68663,1,1,1,0,-0.00133225,0.000269308,1,0.496282,0.503718,-1726.72
-1599.46,0.978666,0.335967,3,15,0,1602.34,0.52865,0.0196009,1.01979,0.927233,2.69814,1,1,0,1,-0.0260941,0.0122994,0.999714,0.495229,0.504771,-1725.31
-1600.24,0.927856,0.335967,2,7,0,1602.31,0.509834,0.00361332,1.00362,0.441696,4.44063,1,1,0,1,-0.0294308,0.014426,0.999591,0.499124,0.500876,-1730.9
-1599.97,0.99626,0.335967,3,15,0,1600.98,0.497569,0.00583811,1.00586,0.557504,9.51555,0,1,1,0,-0.0317074,0.0159308,0.999489,0.498587,0.501413,-1730.12
-1599.72,0.999822,0.335967,3,7,0,1600.12,0.562995,0.00555075,1.00557,0.234143,9.45096,1,1,1,1,-0.0205329,0.00897297,0.999857,0.498641,0.501359,-1730.2
-1599.64,0.880723,0.335967,3,7,0,1608.53,0.689602,0.0164828,1.01662,0.514154,2.45815,0,1,1,1,-0.00640137,0.00198697,0.999994,0.495906,0.504094,-1726.25
-1600.01,0.974911,0.335967,3,7,0,1601.08,0.730355,0.0130072,1.01309,0.321528,8.06658,0,1,0,0,-0.00386102,0.0010411,0.999999,0.496761,0.503239,-1727.46
-1601.58,0.982145,0.335967,3,11,0,1601.68,0.323415,0.0201611,1.02037,0.710165,4.37265,1,1,0,1,-0.0678135,0.0458816,0.993297,0.495335,0.504665,-1725.33
-1600.51,1,0.335967,2,3,0,1601.63,0.397739,0.0216351,1.02187,0.973399,1.51784,1,1,0,1,-0.0523318,0.0315174,0.997476,0.494888,0.505112,-1724.75
-1599.68,0.992267,0.335967,3,7,0,1601.09,0.59236,0.00553055,1.00555,0.791198,1.69948,1,1,1,1,-0.0163566,0.00666761,0.999925,0.49864,0.50136,-1730.2
-1599.39,0.999495,0.335967,2,5,0,1599.78,0.598252,0.00928524,1.00933,0.240967,0.296198,1,1,1,1,-0.0155847,0.00626112,0.999934,0.497715,0.502285,-1728.87
-1599.64,0.970802,0.335967,2,7,0,1601.26,0.672853,0.00841892,1.00845,0.340376,2.77234,1,0,1,1,-0.00770715,0.00252137,0.999991,0.497912,0.502088,-1729.14
-1602.65,0.967409,0.335967,3,15,0,1602.72,0.843367,0.00327088,1.00328,0.380678,8.55473,0,1,1,0,-0.000507636,7.95127e-05,1,0.499183,0.500817,-1730.96
-1601.03,0.99952,0.335967,3,15,0,1603.32,0.438238,0.0460125,1.04709,0.870578,4.78667,0,1,1,1,-0.0436443,0.0245177,0.998621,0.489017,0.510983,-1716.54
-1599.34,1,0.335967,3,7,0,1601.3,0.577548,0.0193974,1.01959,0.924823,4.66392,1,1,0,0,-0.0183949,0.00777096,0.999895,0.49524,0.50476,-1725.33
-1600.54,0.973113,0.335967,3,11,0,1600.93,0.395944,0.0221953,1.02244,0.700931,7.58115,1,1,1,1,-0.0527197,0.0318457,0.997411,0.494758,0.505242,-1724.56
-1599.72,0.999861,0.335967,3,7,0,1600.76,0.516907,0.0278973,1.02829,0.99383,5.83579,1,1,0,1,-0.0281538,0.0136009,0.999642,0.493225,0.506775,-1722.47
-1601.74,0.88621,0.335967,4,15,0,1602.32,0.708258,0.00079164,1.00079,0.966334,0.536075,0,1,1,1,-0.00513084,0.00149688,0.999997,0.499803,0.500197,-1731.89
-1599.46,0.994683,0.335967,3,11,0,1601.8,0.616747,0.00823338,1.00827,0.655325,9.38006,1,1,0,1,-0.013306,0.00509956,0.999958,0.497969,0.502031,-1729.23
-1599.69,0.996204,0.335967,3,7,0,1599.8,0.686078,0.0206906,1.02091,0.941533,1.7521,1,1,1,1,-0.00666282,0.0020916,0.999994,0.494862,0.505138,-1724.76
-1599.67,0.961731,0.335967,3,7,0,1601.25,0.661935,0.0249418,1.02526,0.137675,9.90704,0,1,1,0,-0.00864601,0.00292291,0.999987,0.493819,0.506181,-1723.29
-1599.87,0.971151,0.335967,2,7,0,1602.18,0.471791,0.0241807,1.02448,0.87474,6.92693,1,1,1,0,-0.0367261,0.0193991,0.9992,0.494182,0.505818,-1723.8
-1600.22,0.988945,0.335967,3,9,0,1600.68,0.727235,0.00627044,1.00629,0.533385,5.16612,0,1,1,1,-0.0040256,0.00109805,0.999998,0.498439,0.501561,-1729.89
-1599.53,0.996629,0.335967,3,15,0,1600.97,0.544211,0.00849507,1.00853,0.159493,4.84481,1,1,1,0,-0.0234867,0.010705,0.999789,0.497927,0.502073,-1729.17
-1600.05,0.990102,0.335967,2,7,0,1600.21,0.47161,0.00684682,1.00687,0.901937,6.82551,1,1,0,0,-0.0367624,0.0194249,0.999197,0.498353,0.501647,-1729.78
-1602.07,0.975535,0.335967,3,15,0,1602.62,0.420191,0.00104766,1.00105,0.348287,2.52707,1,1,0,1,-0.0474897,0.027535,0.998182,0.499751,0.500249,-1731.81
-1600.82,0.981976,0.335967,4,15,0,1604.34,0.775958,0.0222246,1.02247,0.0947027,4.92019,1,1,1,1,-0.00195503,0.000438008,1,0.494455,0.505545,-1724.11
-1601.2,0.991328,0.335967,4,15,0,1602.03,0.778999,0.00393977,1.00395,0.268699,4.82107,1,1,1,1,-0.0018583,0.000410685,1,0.499017,0.500983,-1730.73
-1600.05,0.999952,0.335967,4,15,0,1601.66,0.700926,0.0274383,1.02782,0.465487,2.95842,0,1,0,1,-0.0056077,0.00167711,0.999996,0.493179,0.506821,-1722.36
-1599.49,0.998447,0.335967,3,7,0,1600.68,0.544524,0.0236847,1.02397,0.996342,7.86092,1,1,1,1,-0.0234357,0.0106744,0.999791,0.494219,0.505781,-1723.88
-1599.39,1,0.335967,2,3,0,1599.49,0.561137,0.0209064,1.02113,0.534216,4.61397,0,1,0,1,-0.0208154,0.00913511,0.999851,0.494883,0.505117,-1724.82
-1599.53,0.992057,0.335967,4,15,0,1599.68,0.62626,0.0254077,1.02573,0.486926,6.76506,1,1,1,0,-0.012219,0.00456673,0.999967,0.493726,0.506274,-1723.18
-1599.45,0.969063,0.335967,2,7,0,1600.57,0.556108,0.00938789,1.00943,0.415921,9.25342,0,1,1,1,-0.0215908,0.00958401,0.999835,0.497704,0.502296,-1728.85
-1601.05,0.952615,0.335967,2,7,0,1602.42,0.794758,0.0082285,1.00826,0.460174,4.27873,0,1,1,0,-0.00141025,0.000289443,1,0.497946,0.502054,-1729.15
-1602,0.992947,0.335967,3,15,0,1602.57,0.799295,0.00222671,1.00223,0.591398,6.87093,1,1,0,1,-0.00129701,0.000260316,1,0.499444,0.500556,-1731.35
-1601.96,0.997676,0.335967,2,3,0,1602.4,0.799623,0.00233724,1.00234,0.300028,2.75871,0,1,1,1,-0.00128907,0.000258299,1,0.499416,0.500584,-1731.31
-1600.27,0.999502,0.335967,4,15,0,1602.68,0.448604,0.0314235,1.03192,0.435421,1.61173,1,0,1,1,-0.041469,0.0228658,0.998829,0.49248,0.50752,-1721.38
-1599.31,0.98033,0.335967,4,15,0,1601.39,0.574628,0.0129592,1.01304,0.959973,5.75827,1,1,1,1,-0.0188132,0.00800262,0.999888,0.496822,0.503178,-1727.59
-1599.29,0.994703,0.335967,2,7,0,1599.62,0.598499,0.0161259,1.01626,0.0814973,9.44479,0,1,0,1,-0.0155528,0.00624447,0.999935,0.496032,0.503968,-1726.45
-1600.01,0.964973,0.335967,2,7,0,1601.23,0.443833,0.0200174,1.02022,0.700481,5.2813,0,1,1,0,-0.0424665,0.0236185,0.998737,0.495215,0.504785,-1725.25
-1600.03,0.983376,0.335967,4,15,0,1600.98,0.635197,0.00356736,1.00357,0.24897,6.23532,1,1,1,1,-0.0112497,0.00410392,0.999973,0.499118,0.500882,-1730.89
-1599.77,0.995118,0.335967,3,7,0,1600.71,0.471038,0.0138528,1.01395,0.0150343,2.10782,0,0,1,1,-0.036877,0.0195065,0.99919,0.496667,0.503333,-1727.35
-1600.12,0.987686,0.335967,2,7,0,1600.96,0.435029,0.0216008,1.02184,0.32431,4.80181,0,1,0,1,-0.0443232,0.0250413,0.99855,0.494847,0.505153,-1724.72
-1600.84,0.888894,0.335967,2,3,0,1603.03,0.533951,0.0519163,1.05329,0.642306,0.761979,1,1,1,1,-0.02519,0.0117398,0.999742,0.487354,0.512646,-1714.35
-1600.19,1,0.335967,2,3,0,1600.77,0.545398,0.0409467,1.0418,0.320887,5.24535,1,1,0,1,-0.0232937,0.0105894,0.999794,0.490005,0.509995,-1717.99
-1599.43,1,0.335967,2,3,0,1600.16,0.568457,0.0231309,1.0234,0.967876,9.43574,1,1,1,1,-0.0197149,0.00850782,0.999873,0.494332,0.505668,-1724.04
-1600.43,0.929839,0.335967,3,7,0,1602.14,0.750931,0.0222949,1.02255,0.58071,3.99927,0,1,1,1,-0.00288988,0.000719781,0.999999,0.494443,0.505557,-1724.11
-1599.49,0.984614,0.335967,3,7,0,1601.26,0.668732,0.0132533,1.01334,0.98333,5.28504,1,1,1,1,-0.00805322,0.00266777,0.999989,0.496713,0.503287,-1727.41
-1601.9,0.944889,0.335967,4,15,0,1604.23,0.309863,0.0108779,1.01094,0.185359,9.97886,0,1,0,1,-0.0703562,0.0485554,0.992121,0.497493,0.502507,-1728.47
-1600.14,0.999962,0.335967,3,7,0,1602.34,0.515388,0.0380102,1.03874,0.517061,5.96051,1,1,1,1,-0.0284257,0.0137755,0.999631,0.490772,0.509228,-1719.04
-1601.69,0.97407,0.335967,3,15,0,1603.32,0.826323,0.0086919,1.00873,0.697708,7.66857,1,1,1,1,-0.000751828,0.000130575,1,0.497829,0.502171,-1728.97
-1603.19,0.990046,0.335967,3,11,0,1605.53,0.2514,0.0121063,1.01218,0.643198,5.47435,1,1,1,0,-0.0792988,0.0593631,0.984952,0.497259,0.502741,-1728.09
-1603.97,0.980538,0.335967,2,3,0,1604.61,0.222504,0.0154114,1.01553,0.730929,4.51541,1,1,1,1,-0.0820625,0.0638033,0.979831,0.496541,0.503459,-1727.02
-1605.46,0.974753,0.335967,1,3,0,1606.04,0.179853,0.0147939,1.0149,0.28075,7.52057,1,1,1,1,-0.0836008,0.0685649,0.969704,0.496723,0.503277,-1727.26
-1599.52,0.999348,0.335967,3,7,0,1605.82,0.627381,0.00755938,1.00759,0.050756,9.34182,1,1,1,1,-0.0120946,0.00450665,0.999968,0.498133,0.501867,-1729.47
-1599.48,0.999968,0.335967,2,3,0,1599.53,0.621957,0.00809092,1.00812,0.910253,0.566059,1,1,0,1,-0.0127035,0.00480246,0.999963,0.498003,0.501997,-1729.28
