# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:56:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c55d8ee9d7.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061356-2-59a0d6.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061356-2-4351f5.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post,tau_post,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.237721
# Diagonal elements of inverse mass matrix:
# 0.256109, 2.06682
-1599.67,0.99794,0.237721,3,15,0,1599.96,0.484633,0.0140491,1.01415,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.79,0.997641,0.237721,3,7,0,1599.94,0.473101,0.011768,1.01184,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.94,0.994463,0.237721,3,15,0,1600.37,0.511406,0.00539034,1.0054,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.3,0.998123,0.237721,4,15,0,1600.42,0.583143,0.0136985,1.01379,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.93,0.982108,0.237721,3,7,0,1601,0.683985,0.0279883,1.02838,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.83,0.999944,0.237721,4,15,0,1600.31,0.665524,0.00553925,1.00555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.93,0.995347,0.237721,4,15,0,1600.94,0.492427,0.0306239,1.0311,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.67,0.997602,0.237721,3,9,0,1600.13,0.606964,0.00559963,1.00562,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.34,0.999535,0.237721,4,15,0,1599.86,0.615294,0.0190859,1.01927,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.94,0.976802,0.237721,3,15,0,1600.64,0.713124,0.0210092,1.02123,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.51,0.997453,0.237721,3,15,0,1600.67,0.510784,0.0174734,1.01763,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.57,0.998192,0.237721,3,7,0,1599.68,0.517886,0.0100349,1.01009,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.97,0.991526,0.237721,4,15,0,1600.65,0.622332,0.00375063,1.00376,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.54,0.996723,0.237721,4,15,0,1600.75,0.711763,0.00315509,1.00316,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.43,0.999927,0.237721,3,7,0,1600.7,0.695643,0.00309637,1.0031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.37,0.999922,0.237721,3,7,0,1600.52,0.707742,0.00378662,1.00379,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.93,0.971533,0.237721,2,7,0,1603,0.713095,0.00862931,1.00867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.76,1,0.237721,3,7,0,1600.05,0.702336,0.0173175,1.01747,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.28,0.97394,0.237721,3,7,0,1601.56,0.752417,0.0125003,1.01258,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.39,0.995108,0.237721,3,9,0,1601.45,0.54833,0.019362,1.01955,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.47,0.997203,0.237721,3,7,0,1599.55,0.558407,0.0240095,1.0243,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.48,0.995364,0.237721,3,15,0,1599.75,0.651394,0.00970041,1.00975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.32,0.999982,0.237721,3,7,0,1599.5,0.610669,0.0121041,1.01218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.41,0.998127,0.237721,2,7,0,1599.47,0.602291,0.00899948,1.00904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.85,0.989873,0.237721,2,7,0,1600.25,0.627548,0.00445774,1.00447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.23,0.992775,0.237721,3,15,0,1601.29,0.659858,0.00308325,1.00309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.19,0.985116,0.237721,3,11,0,1601.97,0.664099,0.00105652,1.00106,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.71,0.982736,0.237721,3,7,0,1601.9,0.649726,0.0278039,1.02819,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.05,0.978642,0.237721,3,15,0,1600.67,0.470307,0.00689547,1.00692,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.98,0.999392,0.237721,3,7,0,1600.29,0.512833,0.00502883,1.00504,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.56,0.999929,0.237721,3,7,0,1600.12,0.515106,0.0219076,1.02215,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.95,0.996602,0.237721,3,11,0,1600.11,0.713319,0.00825447,1.00829,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.14,0.997392,0.237721,3,7,0,1600.37,0.720736,0.00639052,1.00641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.53,0.997728,0.237721,3,7,0,1600.56,0.731189,0.00415005,1.00416,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.7,0.998667,0.237721,4,15,0,1600.73,0.627482,0.00556121,1.00558,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.12,0.996208,0.237721,3,15,0,1600.41,0.501355,0.00455831,1.00457,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.16,0.999834,0.237721,2,3,0,1600.16,0.49691,0.00446165,1.00447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.98,0.99004,0.237721,3,15,0,1602.33,0.56002,0.00386652,1.00387,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.12,0.999717,0.237721,3,7,0,1600.21,0.587223,0.00306644,1.00307,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.27,0.988878,0.237721,3,15,0,1602.1,0.759206,0.00247299,1.00248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.35,0.999683,0.237721,4,15,0,1601.73,0.784693,0.00367549,1.00368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.56,0.997722,0.237721,3,15,0,1602.6,0.51329,0.0217575,1.022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.29,0.989717,0.237721,3,7,0,1600.48,0.416471,0.0207233,1.02094,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.31,0.990716,0.237721,3,11,0,1602.15,0.616849,0.0157249,1.01585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.19,0.98247,0.237721,3,15,0,1601.87,0.428175,0.0221058,1.02235,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.6,0.983428,0.237721,3,15,0,1602.98,0.773058,0.0153883,1.01551,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.93,0.992966,0.237721,4,15,0,1601.63,0.451541,0.0135975,1.01369,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.98,0.971121,0.237721,4,15,0,1602.6,0.764021,0.00389396,1.0039,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.41,0.999208,0.237721,4,15,0,1601.89,0.533425,0.0172878,1.01744,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.48,0.996584,0.237721,4,15,0,1599.79,0.515512,0.0160877,1.01622,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.47,0.997405,0.237721,3,15,0,1599.72,0.544916,0.0229313,1.0232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.55,0.951937,0.237721,3,11,0,1601.85,0.62972,0.00712183,1.00715,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.44,0.998693,0.237721,3,15,0,1599.8,0.531794,0.0121324,1.01221,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.34,0.999328,0.237721,2,7,0,1599.52,0.553873,0.0154546,1.01557,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.32,0.99944,0.237721,4,15,0,1599.4,0.621591,0.0148565,1.01497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.66,0.992678,0.237721,3,7,0,1599.74,0.534122,0.0070609,1.00709,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.89,0.997776,0.237721,3,15,0,1600.3,0.712804,0.00942814,1.00947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.51,1,0.237721,3,7,0,1599.95,0.650705,0.00897958,1.00902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.86,0.982326,0.237721,3,15,0,1602.02,0.457876,0.0163182,1.01645,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.23,0.976352,0.237721,3,7,0,1602.29,0.385266,0.0575317,1.05922,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.59,1,0.237721,3,7,0,1602.31,0.43081,0.0354065,1.03604,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.21,0.940982,0.237721,3,9,0,1602.15,0.693788,0.00123392,1.00123,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.69,0.994421,0.237721,2,7,0,1602.34,0.718923,0.000918936,1.00092,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.25,0.993585,0.237721,3,15,0,1602.02,0.644808,0.000915906,1.00092,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1605.45,0.972811,0.237721,3,15,0,1606.22,0.890467,0.000644926,1.00065,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.83,0.999485,0.237721,4,15,0,1607.25,0.264441,0.0134422,1.01353,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.51,0.999661,0.237721,3,15,0,1603.43,0.662258,0.0192627,1.01945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.4,0.999916,0.237721,4,15,0,1599.6,0.542313,0.0125871,1.01267,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.66,0.989195,0.237721,2,7,0,1600.24,0.570605,0.00588854,1.00591,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.14,0.997839,0.237721,4,15,0,1600.33,0.647923,0.0032628,1.00327,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.13,0.994778,0.237721,3,7,0,1601.38,0.564843,0.00102791,1.00103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.97,0.998982,0.237721,4,15,0,1601.66,0.727034,0.0142532,1.01436,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.33,0.999781,0.237721,3,15,0,1600,0.590687,0.0111509,1.01121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.88,0.970512,0.237721,3,7,0,1601.9,0.618399,0.0518721,1.05324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.43,1,0.237721,4,15,0,1601.9,0.751519,0.00181807,1.00182,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.56,0.997096,0.237721,4,15,0,1601.92,0.568242,0.0274419,1.02782,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.7,0.774645,0.237721,4,15,0,1604.3,0.569134,0.000559468,1.00056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.87,0.999864,0.237721,2,3,0,1601.87,0.568325,0.000469159,1.00047,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.1,0.989227,0.237721,3,15,0,1602.75,0.49597,0.000514952,1.00052,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
