# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:56:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c55d8ee9d7.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061356-1-59a0d6.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061356-1-4351f5.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post,tau_post,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.335967
# Diagonal elements of inverse mass matrix:
# 0.256348, 1.2261
-1599.62,0.99631,0.335967,2,7,0,1599.67,0.658996,0.00757858,1.00761,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.82,0.996954,0.335967,3,7,0,1600.06,0.628555,0.03235,1.03288,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.88,0.91883,0.335967,2,3,0,1601.19,0.643622,0.0323703,1.0329,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.01,0.904132,0.335967,4,15,0,1601.83,0.569221,0.00115331,1.00115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.03,1,0.335967,1,1,0,1601.04,0.571338,0.00111791,1.00112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.44,0.999319,0.335967,3,7,0,1601.63,0.660929,0.000792982,1.00079,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1604.01,0.951419,0.335967,3,15,0,1605.48,0.861303,0.00114369,1.00114,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.9,0.9975,0.335967,4,15,0,1605.86,0.534572,0.00051069,1.00051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.52,0.994208,0.335967,2,3,0,1602.54,0.488926,0.000350175,1.00035,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1603.16,0.998699,0.335967,3,15,0,1604.22,0.566077,0.000127212,1.00013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.58,0.996662,0.335967,3,7,0,1603.42,0.515302,0.000781167,1.00078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1603.25,0.99979,0.335967,3,7,0,1603.46,0.659229,0.000123835,1.00012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.08,0.991633,0.335967,3,7,0,1603.89,0.698125,0.000511564,1.00051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.16,0.985739,0.335967,2,7,0,1604.36,0.640009,0.000995493,1.001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.73,0.998997,0.335967,3,7,0,1601.31,0.665825,0.00175963,1.00176,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.14,0.995846,0.335967,4,15,0,1601.27,0.651159,0.0370209,1.03771,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.44,1,0.335967,3,7,0,1600.41,0.575103,0.0239993,1.02429,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.32,0.985311,0.335967,3,11,0,1600.11,0.612188,0.0174115,1.01756,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.43,0.996151,0.335967,4,15,0,1599.65,0.65472,0.0124517,1.01253,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.98,0.965948,0.335967,4,15,0,1601.78,0.484764,0.00649622,1.00652,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.82,0.984383,0.335967,3,7,0,1601.49,0.379387,0.0254479,1.02577,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.43,0.990366,0.335967,2,3,0,1601.49,0.334643,0.0225526,1.02281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.38,0.974293,0.335967,3,7,0,1602.98,0.485745,0.00366038,1.00367,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.02,0.998664,0.335967,3,15,0,1600.68,0.633288,0.00358699,1.00359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.5,0.993424,0.335967,4,15,0,1601.72,0.536649,0.00076787,1.00077,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.55,0.992709,0.335967,4,15,0,1602.29,0.758244,0.0068137,1.00684,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.04,0.986034,0.335967,3,7,0,1602.54,0.839365,0.00780614,1.00784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.7,0.993511,0.335967,3,15,0,1603.22,0.793964,0.0028651,1.00287,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.37,0.999162,0.335967,2,3,0,1601.95,0.769234,0.00260054,1.0026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.83,0.984503,0.335967,3,7,0,1603.89,0.325147,0.0529564,1.05438,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.58,1,0.335967,2,3,0,1602.87,0.334514,0.0286347,1.02905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.55,1,0.335967,1,1,0,1601.63,0.335155,0.028286,1.02869,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.75,0.974982,0.335967,2,3,0,1602.78,0.279016,0.0314498,1.03195,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.3,0.994897,0.335967,3,7,0,1603.05,0.580436,0.0133808,1.01347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.42,0.985683,0.335967,2,7,0,1600.23,0.532335,0.0174825,1.01764,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.41,0.96481,0.335967,4,15,0,1600.96,0.617701,0.00217164,1.00217,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.16,0.957864,0.335967,2,5,0,1602.92,0.56933,0.0410019,1.04185,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.58,1,0.335967,3,11,0,1600.29,0.588552,0.00645286,1.00647,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.02,0.986036,0.335967,2,7,0,1601.18,0.589048,0.00346602,1.00347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.53,0.994644,0.335967,4,15,0,1600.67,0.427643,0.00598408,1.006,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.56,0.981497,0.335967,3,7,0,1602.39,0.621154,0.0615386,1.06347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.07,0.930634,0.335967,3,7,0,1603.59,0.750829,0.000889164,1.00089,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.06,0.999823,0.335967,1,1,0,1602.1,0.751763,0.000911775,1.00091,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.13,0.986242,0.335967,4,15,0,1603.37,0.478,0.000564227,1.00056,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1602.12,1,0.335967,4,15,0,1603.09,0.677623,0.000428206,1.00043,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.59,0.961281,0.335967,2,7,0,1604.82,0.767437,0.0019355,1.00194,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1603.23,0.98135,0.335967,3,15,0,1603.88,0.758449,0.000294507,1.00029,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1599.96,0.969562,0.335967,3,15,0,1604.74,0.452251,0.0215385,1.02177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1601.75,0.970283,0.335967,3,7,0,1601.88,0.365207,0.0442817,1.04528,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1604.38,0.77357,0.335967,4,15,0,1608.18,0.364904,0.000199501,1.0002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1604.83,0.995895,0.335967,3,7,0,1604.97,0.334602,0.000207059,1.00021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.51,0.99962,0.335967,3,7,0,1604.96,0.540813,0.0022081,1.00221,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.17,0.996691,0.335967,4,15,0,1601.56,0.711893,0.00529007,1.0053,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1600.82,0.99536,0.335967,3,15,0,1601.2,0.654122,0.00151111,1.00151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
