# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_no_transform_model
# start_datetime = 2024-03-06 11:32:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c554685cc18.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-202403061232-2-572e3e.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_no_transform-profile-202403061232-2-70e475.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_no_transform_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,tau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.274457
# Diagonal elements of inverse mass matrix:
# 1.58248, 0.327487
-172.836,0.99645,0.274457,3,11,0,173.07,0.760685,0.59916,0.106403,2.54194,0,1,0,1,-8.29624e-06,1.98541e-06,0.763368,0.387609,0.612391,-167.871
-172.796,0.99996,0.274457,3,7,0,172.861,0.784329,0.644788,0.31789,6.61165,0,1,1,1,-3.7082e-06,7.9975e-07,0.786127,0.375925,0.624075,-167.828
-172.882,0.998044,0.274457,3,7,0,172.915,0.82773,0.6748,0.885465,10.1779,1,1,1,1,-6.4533e-07,1.11171e-07,0.828485,0.363765,0.636235,-167.787
-173.164,0.995369,0.274457,3,7,0,173.195,0.882836,0.699545,0.338823,6.26538,1,1,1,1,-3.14003e-08,3.67899e-09,0.883005,0.350304,0.649696,-167.782
-172.848,0.970609,0.274457,3,7,0,173.905,0.730187,0.59533,0.289904,14.4652,1,1,1,1,-2.09123e-05,5.64241e-06,0.734441,0.392403,0.607597,-167.957
-172.874,0.998505,0.274457,2,7,0,173,0.821108,0.688322,0.16108,0.997723,1,1,1,1,-8.6617e-07,1.54951e-07,0.821982,0.362209,0.637791,-167.827
-173.023,0.984963,0.274457,2,7,0,173.365,0.689527,0.823734,0.969642,14.69,1,1,1,0,-6.1319e-05,1.90379e-05,0.696824,0.360327,0.639673,-168.524
-172.969,1,0.274457,3,7,0,173.169,0.612094,0.75698,0.198074,1.62789,0,1,0,0,-0.000332321,0.000128909,0.629309,0.383168,0.616832,-168.493
-177.372,0.879615,0.274457,3,7,0,177.657,0.121982,0.495472,0.052935,6.19563,0,1,0,1,-0.113057,0.099266,0.555206,0.44545,0.55455,-171.694
-176.656,0.999039,0.274457,2,3,0,177.545,0.160206,0.51282,0.102269,6.2127,0,1,0,1,-0.0856898,0.0719618,0.521895,0.444308,0.555692,-171.239
-173.039,0.994925,0.274457,3,7,0,177.176,0.692685,0.828445,0.775534,11.4075,1,1,1,1,-5.6712e-05,1.74285e-05,0.6997,0.359021,0.640979,-168.539
-173.489,0.863228,0.274457,2,3,0,175.274,0.758242,0.908731,0.213456,5.69289,1,1,0,0,-8.9734e-06,2.16939e-06,0.761031,0.333685,0.666315,-168.926
-172.802,0.989092,0.274457,2,3,0,173.697,0.695562,0.643794,0.246851,9.82797,1,1,1,1,-5.27782e-05,1.60677e-05,0.702328,0.388857,0.611143,-168.057
-173.24,0.994241,0.274457,3,7,0,173.248,0.535098,0.781387,0.152785,10.446,0,1,0,0,-0.00128875,0.00059914,0.569906,0.390715,0.609285,-168.84
-172.773,0.990321,0.274457,2,7,0,173.829,0.72831,0.650585,0.182321,14.9499,0,1,0,0,-2.20568e-05,5.99261e-06,0.732679,0.383042,0.616958,-167.971
-174.019,0.914499,0.274457,2,5,0,174.993,0.594917,0.39861,0.0870957,10.1129,0,1,1,1,-0.000460436,0.000186515,0.615278,0.439037,0.560963,-168.941
-173.928,1,0.274457,2,3,0,174.023,0.595639,0.411066,0.270384,9.19309,1,1,1,1,-0.000454311,0.000183706,0.615859,0.437092,0.562908,-168.88
-173.2,0.999267,0.274457,3,7,0,174.38,0.818793,0.50028,0.894824,10.9167,0,1,1,1,-9.57534e-07,1.73512e-07,0.819711,0.398892,0.601108,-167.857
-173.466,0.989733,0.274457,3,15,0,174.648,0.923303,0.669623,0.465076,14.0596,1,1,1,1,-1.10599e-09,8.4826e-11,0.923335,0.350171,0.649829,-167.663
-173.651,0.982819,0.274457,3,7,0,174.146,0.937711,0.669777,0.9296,7.17684,1,1,1,1,-2.1254e-10,1.32388e-11,0.937726,0.347949,0.652051,-167.656
-173.022,0.986229,0.274457,3,15,0,175.105,0.809789,0.542161,0.627775,5.91187,1,1,1,0,-1.39714e-06,2.65753e-07,0.810896,0.391828,0.608172,-167.794
-175.039,0.94599,0.274457,4,15,0,176.861,0.699957,0.272556,0.129009,5.72605,0,1,0,0,-4.72233e-05,1.4169e-05,0.706355,0.452021,0.547979,-169.452
-175.043,0.999972,0.274457,1,1,0,175.073,0.702402,0.272062,0.661709,2.14098,1,1,1,0,-4.43564e-05,1.32004e-05,0.708602,0.451956,0.548044,-169.45
-176.209,0.990578,0.274457,3,15,0,177.342,0.986265,0.870808,0.863004,11.2926,1,1,1,0,-1.24908e-15,1.71559e-17,0.986265,0.29758,0.70242,-169.001
-176.348,0.983239,0.274457,3,15,0,177.986,0.243856,0.311208,0.812899,4.26178,0,1,1,1,-0.042688,0.0322783,0.482514,0.465834,0.534166,-170.761
-177.039,1,0.274457,3,7,0,177.256,0.225673,0.237914,0.812953,2.62887,0,1,1,0,-0.0501791,0.0388551,0.487804,0.473994,0.526006,-171.134
-176.765,0.999363,0.274457,2,3,0,177.074,0.244961,0.25329,0.871273,11.2207,1,1,0,0,-0.042263,0.0319102,0.482245,0.472168,0.527832,-170.979
-176.281,1,0.274457,2,3,0,176.922,0.3107,0.260357,0.0300284,14.9052,1,1,1,0,-0.0224488,0.0154739,0.476127,0.470505,0.529495,-170.669
-174.731,0.999732,0.274457,3,7,0,176.539,0.624368,0.309022,0.879582,10.0375,1,1,1,1,-0.000260732,9.79391e-05,0.639571,0.45077,0.54923,-169.378
-176.432,0.971297,0.274457,3,11,0,177.454,0.638414,0.173698,0.491958,9.64714,1,1,1,0,-0.000195445,7.06704e-05,0.651536,0.471746,0.528254,-170.496
-174.997,0.990082,0.274457,4,15,0,178.162,0.29412,0.797215,0.586357,7.29528,0,1,1,1,-0.0265196,0.0187197,0.475912,0.41138,0.58862,-170.436
-177.318,0.915021,0.274457,2,3,0,177.38,0.167422,0.86629,0.883811,2.95761,1,1,1,1,-0.0810817,0.0675069,0.516837,0.406732,0.593268,-172.436
