lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,logTau,tau,alpha_prior,tau_prior,alpha_prior_preds03,alpha_prior_preds07,alpha_prior_preds09,alpha_post_preds03,alpha_post_preds07,alpha_post_preds09,tau_prior_preds03,tau_prior_preds07,tau_prior_preds09,tau_post_preds03,tau_post_preds07,tau_post_preds09
# Adaptation terminated
# Step size = 0.157107
# Diagonal elements of inverse mass matrix:
# 3.52485, 1.38287
-3.34441,0.996425,0.157107,3,15,0,4.73718,0.445252,0.385681,1.47062,0.590407,-0.0493198,0,0,1,0,0,0,1,1,0,0,1,0
-2.99839,0.988562,0.157107,2,7,0,5.18384,0.325427,0.760134,2.13856,-0.281443,0.523994,1,0,1,0,1,1,1,1,0,1,1,0
-3.59761,0.99029,0.157107,4,15,0,4.98267,0.521847,0.286686,1.33201,0.704096,0.521555,0,1,1,1,0,1,1,0,1,0,1,1
-2.96156,0.999805,0.157107,3,15,0,3.91771,0.559045,0.649713,1.91499,1.17979,0.769607,0,1,1,0,0,0,0,1,1,1,0,1
-2.86037,0.997506,0.157107,3,11,0,3.4782,0.535784,0.785377,2.19323,1.0132,0.530229,0,1,1,0,0,1,1,1,1,0,1,1
-3.05416,0.998946,0.157107,3,15,0,3.07695,0.593219,0.579455,1.78507,1.304,-0.184999,0,1,1,0,1,1,0,1,1,0,1,1
-2.83661,0.99001,0.157107,2,7,0,4.52977,0.56001,1.13258,3.10365,1.44835,0.0753516,0,1,1,0,1,1,0,1,1,0,0,1
-2.93418,0.988292,0.157107,3,15,0,3.74103,0.570842,0.690588,1.99489,0.294164,0.0845855,0,1,1,0,1,1,0,1,1,0,0,1
-3.04711,0.999409,0.157107,4,15,0,3.17291,0.691249,0.726074,2.06695,0.266618,0.151938,0,1,1,0,0,0,1,1,1,1,1,1
-3.35331,0.998453,0.157107,4,15,0,3.63218,0.176811,0.916799,2.50127,-0.204983,0.569904,0,1,1,1,0,1,1,0,0,1,1,1
-2.99694,0.998571,0.157107,5,31,0,4.04986,0.326394,1.26118,3.52959,-0.158859,1.16984,0,1,0,1,1,0,1,1,0,0,1,1
-2.97837,1,0.157107,2,3,0,3.00199,0.326252,1.21772,3.37949,0.0140103,1.41026,1,0,0,1,0,0,0,1,1,1,0,0
-3.0217,0.993003,0.157107,3,11,0,3.71566,0.562515,0.59088,1.80558,0.996073,0.140038,1,1,1,1,1,0,1,0,1,0,1,0
-3.53805,0.995453,0.157107,3,15,0,4.3265,0.740789,1.74772,5.74152,1.30134,-0.0283392,0,1,0,0,0,1,0,0,1,0,0,1
-4.92815,0.990252,0.157107,4,15,0,5.12159,0.0658204,0.309635,1.36293,0.829071,0.685292,0,1,1,0,1,1,0,1,1,0,0,0
-5.11974,0.998687,0.157107,4,15,0,6.06906,0.0381032,0.452983,1.573,0.348498,0.503727,1,0,0,0,1,1,0,1,1,0,1,1
-4.38183,0.996021,0.157107,3,15,0,6.89836,0.302219,0.150296,1.16218,-0.339895,0.378684,0,1,0,1,1,0,1,1,1,1,1,1
-3.36132,0.997418,0.157107,4,15,0,4.66434,0.246617,0.54207,1.71956,-0.129157,0.0283956,0,0,0,0,0,0,1,0,0,0,0,0
-3.01345,0.998616,0.157107,4,15,0,3.90811,0.366059,1.38552,3.99689,0.688694,1.48288,0,1,1,1,0,1,0,1,1,0,0,1
-4.72206,0.979963,0.157107,3,15,0,6.1146,0.959598,1.23839,3.45005,0.588633,0.155728,0,1,1,0,0,1,0,0,1,0,1,1
-2.95274,0.999912,0.157107,4,23,0,5.38219,0.317496,0.933498,2.54339,0.422745,-0.254188,1,1,1,0,0,1,0,0,0,1,0,1
-3.59345,0.989901,0.157107,3,15,0,4.98993,0.733899,0.379349,1.46133,0.0284518,0.489425,0,1,0,1,1,0,1,0,0,0,1,1
-3.0817,0.998888,0.157107,4,15,0,4.07316,0.302658,0.692622,1.99895,0.824195,0.479608,1,1,1,0,0,0,0,0,0,0,1,1
-3.34745,0.994766,0.157107,3,15,0,4.39355,0.222921,0.614888,1.84945,0.370481,0.120128,1,1,1,0,0,1,1,0,1,0,1,1
