# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:59:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/RtmpgrDZRT/standata-75124c3124f4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061359-1-5736fb.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061359-1-70ed32.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post,tau_post,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.335967
# Diagonal elements of inverse mass matrix:
# 0.256348, 1.2261
-1599.4,0.999231,0.335967,3,7,0,1599.97,0.550935,0.0112596,1.01132,0.60784,0.578346,1518,1437,0.634352,0.733279,1594,1864,-0.0224046,0.0100611,0.999816,0.497249,0.502751,-1728.2
-1599.52,0.99846,0.335967,3,7,0,1599.56,0.632682,0.0245196,1.02482,0.661617,0.994201,1617,2485,0.653097,0.735911,1599,1829,-0.0115174,0.00423057,0.999972,0.493941,0.506059,-1723.48
-1599.6,0.998295,0.335967,2,3,0,1599.63,0.644187,0.0256592,1.02599,0.602657,0.950939,1511,2386,0.655699,0.736138,1652,1828,-0.0103252,0.00367384,0.999979,0.493652,0.506348,-1723.07
-1600.41,0.992844,0.335967,3,7,0,1600.59,0.408227,0.0111354,1.0112,0.541168,0.997258,1352,2494,0.600663,0.733254,1559,1864,-0.0500661,0.0296278,0.997831,0.497362,0.502638,-1728.32
-1601.05,0.993881,0.335967,3,7,0,1601.2,0.379267,0.00646021,1.00648,0.6978,0.997758,1797,2495,0.593696,0.732331,1452,1844,-0.0563139,0.0349559,0.996734,0.498481,0.501519,-1729.94
-1601.08,0.997892,0.335967,2,3,0,1601.27,0.370483,0.00748748,1.00752,0.575871,0.759759,1439,1904,0.591576,0.732534,1478,1815,-0.0581923,0.036633,0.996321,0.498244,0.501756,-1729.59
-1601.46,0.993222,0.335967,3,7,0,1602.5,0.422945,0.00197896,1.00198,0.609052,0.82488,1512,2069,0.604188,0.731448,1485,1829,-0.0468993,0.0270635,0.998256,0.499529,0.500471,-1731.48
-1600.76,0.998042,0.335967,3,15,0,1601.95,0.621092,0.00146791,1.00147,0.530554,0.999289,1306,2495,0.650467,0.731347,1598,1825,-0.0128024,0.00485091,0.999962,0.499638,0.500362,-1731.65
-1600.49,0.992186,0.335967,3,15,0,1601.37,0.469627,0.00371228,1.00372,0.613214,0.876938,1564,2190,0.615296,0.731789,1546,1803,-0.0371604,0.0197089,0.99917,0.499107,0.500893,-1730.87
-1600.46,0.99824,0.335967,2,3,0,1600.72,0.483569,0.00337913,1.00338,0.53202,0.931278,1335,2312,0.61859,0.731724,1562,1818,-0.0343961,0.0177632,0.999346,0.499185,0.500815,-1730.99
-1600.5,0.983484,0.335967,3,7,0,1602.36,0.727691,0.0310259,1.03151,0.706008,0.999869,1763,2499,0.674298,0.737209,1675,1861,-0.00400125,0.00108958,0.999998,0.492275,0.507725,-1721.06
-1600.37,0.994232,0.335967,3,11,0,1602.02,0.407224,0.0141347,1.01424,0.53901,0.988636,1326,2469,0.600422,0.733848,1533,1847,-0.0502825,0.0298063,0.997799,0.496652,0.503348,-1727.3
-1600.48,0.991567,0.335967,3,9,0,1601.41,0.766344,0.0127134,1.01279,0.729056,0.999214,1826,2499,0.68273,0.733567,1696,1818,-0.00228418,0.000533712,1,0.496829,0.503171,-1727.54
-1601.6,0.936975,0.335967,2,7,0,1606.17,0.393818,0.00247592,1.00248,0.519252,0.966989,1308,2415,0.597201,0.731546,1491,1858,-0.0531791,0.0322362,0.997332,0.499416,0.500584,-1731.32
-1599.76,0.995982,0.335967,4,15,0,1602.56,0.67506,0.0253646,1.02569,0.628426,0.986754,1565,2459,0.662635,0.736079,1635,1866,-0.00752583,0.00244544,0.999991,0.493707,0.506293,-1723.13
-1600.38,0.909967,0.335967,2,3,0,1601.77,0.66641,0.0397321,1.04053,0.564601,0.918397,1451,2281,0.660699,0.738953,1664,1849,-0.00825261,0.00275299,0.999989,0.49015,0.50985,-1718.15
-1599.49,1,0.335967,3,7,0,1600.8,0.573469,0.0254681,1.0258,0.686816,0.996433,1712,2485,0.639563,0.7361,1593,1833,-0.0189806,0.00809583,0.999886,0.493755,0.506245,-1723.23
-1599.74,0.994349,0.335967,3,7,0,1599.76,0.582785,0.032281,1.03281,0.554663,0.999019,1390,2497,0.641708,0.73746,1569,1825,-0.0176583,0.00736732,0.999907,0.492074,0.507926,-1720.87
