# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = NY_REL_runs_model
# start_datetime = 2024-03-06 12:34:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/k4/ms5x119d5cd2s9ldsk71bkf00000gn/T/Rtmpcyw0ct/standata-6c5551680188.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-202403061334-2-499d69.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /Users/laura/Desktop/advanced_cognitive_modeling_portfolio1/Asignment/portfolio2/simmodels/NY_REL_runs-profile-202403061334-2-0e91b8.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=NY_REL_runs_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,log_inv_tau,invTau,alpha_prior,tau_prior,alpha_prior_preds,tau_prior_preds,alpha_post_preds,tau_post_preds,pred_error,Values.1,Values.2,prob.1,prob.2,log_lik
# Adaptation terminated
# Step size = 0.237721
# Diagonal elements of inverse mass matrix:
# 0.256109, 2.06682
-1600.05,0.98686,0.237721,3,11,0,1600.38,0.594384,0.00332051,1.00333,0.910887,1.06661,1,1,1,1,-0.016089,0.00652595,0.999928,0.499183,0.500817,-1730.99
-1600.29,0.997618,0.237721,3,15,0,1600.56,0.661864,0.00288425,1.00289,0.895225,9.8759,1,1,0,1,-0.00865239,0.00292569,0.999987,0.499285,0.500715,-1731.13
-1599.87,0.99888,0.237721,4,15,0,1600.47,0.693547,0.00688841,1.00691,0.818715,0.811581,1,0,1,0,-0.00611691,0.00187455,0.999995,0.498288,0.501712,-1729.68
-1600.04,0.997064,0.237721,1,3,0,1600.15,0.704361,0.00591612,1.00593,0.418015,2.21825,1,1,0,0,-0.00538074,0.00159076,0.999996,0.498529,0.501471,-1730.03
-1600.17,0.998278,0.237721,2,3,0,1600.22,0.715128,0.00555027,1.00557,0.581815,8.39616,1,1,1,0,-0.0047096,0.00134163,0.999997,0.498619,0.501381,-1730.16
-1601.57,0.992328,0.237721,4,15,0,1602.57,0.341097,0.0317558,1.03227,0.698327,8.40055,1,1,1,1,-0.0643168,0.0423786,0.994611,0.492615,0.507385,-1721.44
-1601.41,0.999777,0.237721,3,7,0,1602.08,0.332374,0.016085,1.01622,0.307997,3.90682,1,1,1,1,-0.0660643,0.0441062,0.993993,0.496269,0.503731,-1726.69
-1599.89,0.997516,0.237721,3,15,0,1601.92,0.5221,0.00537847,1.00539,0.996659,9.4168,0,1,0,1,-0.0272334,0.0130148,0.999675,0.498692,0.501308,-1730.28
-1599.63,0.999223,0.237721,3,15,0,1600.09,0.518872,0.0252907,1.02561,0.506997,0.760487,1,1,1,1,-0.0278037,0.0133771,0.999655,0.493856,0.506144,-1723.36
-1599.57,0.99954,0.237721,2,3,0,1599.65,0.527539,0.0246459,1.02495,0.550199,3.64348,1,1,1,0,-0.0262857,0.012419,0.999707,0.494003,0.505997,-1723.57
-1599.4,1,0.237721,4,15,0,1599.73,0.58893,0.00929584,1.00934,0.954931,4.59056,1,1,1,0,-0.0168161,0.0069126,0.999919,0.497715,0.502285,-1728.87
-1600.18,0.986273,0.237721,4,15,0,1600.91,0.640324,0.00299335,1.003,0.189101,4.02755,1,1,1,1,-0.0107163,0.00385439,0.999977,0.49926,0.50074,-1731.1
-1599.58,0.979436,0.237721,2,7,0,1602.23,0.558802,0.027599,1.02798,0.966192,2.01806,0,0,1,0,-0.0211735,0.0093417,0.999844,0.493248,0.506752,-1722.51
-1602.75,0.920356,0.237721,3,7,0,1603.65,0.470327,0.0757394,1.07868,0.283688,9.80504,0,1,1,1,-0.0370198,0.0196084,0.99918,0.48179,0.51821,-1706.8
-1600.4,0.989662,0.237721,2,3,0,1603.09,0.477404,0.0393481,1.04013,0.0898088,8.02945,1,1,1,1,-0.0356084,0.0186088,0.999273,0.490522,0.509478,-1718.67
-1600.41,0.997345,0.237721,3,7,0,1601.09,0.41441,0.0256611,1.02599,0.76166,1.64264,1,1,1,1,-0.0487328,0.0285374,0.998019,0.49391,0.50609,-1723.37
-1599.67,0.99829,0.237721,3,7,0,1600.55,0.483859,0.0174373,1.01759,0.829292,2.30944,1,1,1,0,-0.0343395,0.017724,0.999349,0.495793,0.504207,-1726.1
-1600.26,0.978886,0.237721,3,15,0,1601.96,0.692925,0.00374891,1.00376,0.778304,6.26508,1,1,0,0,-0.00616119,0.00189195,0.999995,0.499069,0.500931,-1730.82
-1599.53,1,0.237721,3,7,0,1600.33,0.675911,0.0138357,1.01393,0.761702,2.65172,0,1,0,0,-0.00745672,0.00241664,0.999991,0.496567,0.503433,-1727.2
-1599.75,0.99178,0.237721,3,15,0,1600.54,0.527762,0.0299808,1.03043,0.254711,0.846201,1,1,1,1,-0.0262472,0.0123949,0.999709,0.492704,0.507296,-1721.74
-1600.28,0.975732,0.237721,3,15,0,1602.21,0.746441,0.0192352,1.01942,0.413104,2.58363,0,1,1,1,-0.00308542,0.000782337,0.999999,0.495206,0.504794,-1725.21
-1599.63,0.999208,0.237721,3,7,0,1600.37,0.667425,0.00799421,1.00803,0.95555,3.70802,0,1,1,1,-0.00816512,0.00271552,0.999989,0.498018,0.501982,-1729.29
-1599.95,0.996654,0.237721,3,15,0,1600.16,0.60611,0.0037839,1.00379,0.287877,8.87232,1,1,1,0,-0.0145899,0.00574683,0.999945,0.499068,0.500932,-1730.82
-1599.75,0.999905,0.237721,3,7,0,1600.03,0.579608,0.00501092,1.00502,0.721771,8.02859,1,1,0,1,-0.0181031,0.00761038,0.9999,0.49877,0.50123,-1730.39
-1599.72,0.99784,0.237721,3,15,0,1600.22,0.695674,0.01011,1.01016,0.911802,8.76885,1,1,1,1,-0.00596707,0.00181593,0.999995,0.497488,0.502512,-1728.52
-1600.1,0.983451,0.237721,3,11,0,1601.52,0.572664,0.00321858,1.00322,0.215272,3.49831,0,1,0,1,-0.0190975,0.00816104,0.999884,0.499211,0.500789,-1731.03
-1600.08,0.996285,0.237721,4,15,0,1601.2,0.729786,0.0195399,1.01973,0.608355,8.70177,1,1,0,1,-0.00389071,0.00105133,0.999998,0.495134,0.504866,-1725.12
-1600.07,0.989234,0.237721,3,11,0,1600.88,0.514756,0.00435208,1.00436,0.142303,5.17155,1,1,0,0,-0.0285393,0.0138485,0.999627,0.498943,0.501057,-1730.64
-1600.07,0.999885,0.237721,2,3,0,1600.12,0.519205,0.00424383,1.00425,0.137867,3.21403,0,1,0,1,-0.0277447,0.0133395,0.999657,0.498969,0.501031,-1730.68
-1600.96,0.993609,0.237721,3,15,0,1601.55,0.374998,0.0082668,1.0083,0.992071,0.304774,0,1,1,0,-0.0572286,0.035768,0.996539,0.498059,0.501941,-1729.32
