trial,Agent1_choice,Agent2_choice,left_v1,right_v2,feedback,alpha,tau
12,0,1,0.39524500000000007,0.5957695,0,0.1,0.01
13,0,1,0.35572050000000005,0.5957695,0,0.1,0.01
14,1,1,0.32014845000000003,0.5957695,1,0.1,0.01
15,1,1,0.32014845000000003,0.63619255,1,0.1,0.01
16,0,1,0.32014845000000003,0.672573295,0,0.1,0.01
17,1,1,0.288133605,0.672573295,1,0.1,0.01
18,0,0,0.288133605,0.7053159655,1,0.1,0.01
19,0,1,0.3593202445,0.7053159655,0,0.1,0.01
20,1,0,0.32338822005,0.7053159655,0,0.1,0.01
21,1,0,0.32338822005,0.63478436895,0,0.1,0.01
22,0,1,0.32338822005,0.571305932055,0,0.1,0.01
23,0,1,0.291049398045,0.571305932055,0,0.1,0.01
24,0,1,0.2619444582405,0.571305932055,0,0.1,0.01
25,0,1,0.23575001241645,0.571305932055,0,0.1,0.01
26,0,1,0.212175011174805,0.571305932055,0,0.1,0.01
27,0,1,0.1909575100573245,0.571305932055,0,0.1,0.01
28,1,1,0.17186175905159207,0.571305932055,1,0.1,0.01
29,0,1,0.17186175905159207,0.6141753388495,0,0.1,0.01
30,0,0,0.15467558314643287,0.6141753388495,0,0.1,0.01
1,1,1,0.5,0.5,1,0.2,0.01
2,1,1,0.5,0.6,1,0.2,0.01
3,1,0,0.5,0.6799999999999999,0,0.2,0.01
4,1,0,0.5,0.5439999999999999,0,0.2,0.01
5,1,1,0.5,0.4351999999999999,1,0.2,0.01
6,1,1,0.5,0.54816,1,0.2,0.01
7,1,0,0.5,0.638528,0,0.2,0.01
8,1,0,0.5,0.5108224,0,0.2,0.01
9,0,1,0.5,0.40865792,0,0.2,0.01
10,1,1,0.4,0.40865792,1,0.2,0.01
11,1,1,0.4,0.526926336,1,0.2,0.01
12,0,1,0.4,0.6215410688,0,0.2,0.01
13,0,1,0.32,0.6215410688,0,0.2,0.01
14,0,1,0.256,0.6215410688,0,0.2,0.01
15,1,1,0.2048,0.6215410688,1,0.2,0.01
16,1,1,0.2048,0.69723285504,1,0.2,0.01
17,1,1,0.2048,0.757786284032,1,0.2,0.01
18,0,1,0.2048,0.8062290272256,0,0.2,0.01
19,0,1,0.16384,0.8062290272256,0,0.2,0.01
20,0,1,0.13107200000000002,0.8062290272256,0,0.2,0.01
21,1,1,0.10485760000000002,0.8062290272256,1,0.2,0.01
22,1,1,0.10485760000000002,0.84498322178048,1,0.2,0.01
23,0,1,0.10485760000000002,0.875986577424384,0,0.2,0.01
24,0,0,0.08388608000000002,0.875986577424384,1,0.2,0.01
25,0,0,0.26710886400000006,0.875986577424384,1,0.2,0.01
26,0,1,0.4136870912,0.875986577424384,0,0.2,0.01
27,0,0,0.33094967296,0.875986577424384,1,0.2,0.01
28,0,1,0.464759738368,0.875986577424384,0,0.2,0.01
29,1,1,0.3718077906944,0.875986577424384,1,0.2,0.01
30,1,1,0.3718077906944,0.9007892619395073,1,0.2,0.01
1,0,1,0.5,0.5,0,0.30000000000000004,0.01
2,0,1,0.35,0.5,0,0.30000000000000004,0.01
3,1,1,0.24499999999999997,0.5,1,0.30000000000000004,0.01
4,0,1,0.24499999999999997,0.65,0,0.30000000000000004,0.01
5,1,1,0.17149999999999999,0.65,1,0.30000000000000004,0.01
6,0,1,0.17149999999999999,0.755,0,0.30000000000000004,0.01
7,1,1,0.12004999999999999,0.755,1,0.30000000000000004,0.01
8,1,1,0.12004999999999999,0.8285,1,0.30000000000000004,0.01
9,0,1,0.12004999999999999,0.87995,0,0.30000000000000004,0.01
10,1,1,0.08403499999999998,0.87995,1,0.30000000000000004,0.01
11,1,1,0.08403499999999998,0.915965,1,0.30000000000000004,0.01
12,0,1,0.08403499999999998,0.9411755,0,0.30000000000000004,0.01
13,0,1,0.05882449999999999,0.9411755,0,0.30000000000000004,0.01
14,0,1,0.04117714999999999,0.9411755,0,0.30000000000000004,0.01
15,1,1,0.028824004999999993,0.9411755,1,0.30000000000000004,0.01
16,1,1,0.028824004999999993,0.95882285,1,0.30000000000000004,0.01
17,0,1,0.028824004999999993,0.971175995,0,0.30000000000000004,0.01
18,0,1,0.020176803499999993,0.971175995,0,0.30000000000000004,0.01
19,1,0,0.014123762449999994,0.971175995,0,0.30000000000000004,0.01
20,1,0,0.014123762449999994,0.6798231964999999,0,0.30000000000000004,0.01
21,1,1,0.014123762449999994,0.47587623754999986,1,0.30000000000000004,0.01
22,1,0,0.014123762449999994,0.6331133662849999,0,0.30000000000000004,0.01
23,0,1,0.014123762449999994,0.4431793563994999,0,0.30000000000000004,0.01
24,0,0,0.009886633714999996,0.4431793563994999,1,0.30000000000000004,0.01
25,1,1,0.30692064360050003,0.4431793563994999,1,0.30000000000000004,0.01
26,1,0,0.30692064360050003,0.61022554947965,0,0.30000000000000004,0.01
27,1,1,0.30692064360050003,0.427157884635755,1,0.30000000000000004,0.01
28,1,1,0.30692064360050003,0.5990105192450286,1,0.30000000000000004,0.01
29,0,0,0.30692064360050003,0.71930736347152,1,0.30000000000000004,0.01
30,0,1,0.51484445052035,0.71930736347152,1,0.30000000000000004,0.01
1,1,0,0.5,0.5,0,0.4,0.01
2,0,0,0.5,0.3,1,0.4,0.01
3,0,0,0.7,0.3,1,0.4,0.01
4,1,1,0.82,0.3,1,0.4,0.01
5,0,0,0.82,0.58,1,0.4,0.01
6,1,1,0.892,0.58,1,0.4,0.01
7,1,1,0.892,0.748,1,0.4,0.01
8,0,1,0.892,0.8488,0,0.4,0.01
9,0,1,0.5352,0.8488,0,0.4,0.01
10,1,0,0.32111999999999996,0.8488,0,0.4,0.01
11,1,0,0.32111999999999996,0.50928,0,0.4,0.01
12,1,0,0.32111999999999996,0.30556799999999995,0,0.4,0.01
13,0,0,0.32111999999999996,0.18334079999999997,1,0.4,0.01
14,1,0,0.592672,0.18334079999999997,0,0.4,0.01
15,1,1,0.592672,0.11000447999999997,1,0.4,0.01
16,0,0,0.592672,0.466002688,1,0.4,0.01
17,1,1,0.7556032,0.466002688,1,0.4,0.01
18,0,0,0.7556032,0.6796016128,1,0.4,0.01
19,1,1,0.85336192,0.6796016128,1,0.4,0.01
20,1,1,0.85336192,0.8077609676799999,1,0.4,0.01
21,1,1,0.85336192,0.884656580608,1,0.4,0.01
22,1,1,0.85336192,0.9307939483648,1,0.4,0.01
23,0,1,0.85336192,0.95847636901888,0,0.4,0.01
24,1,0,0.512017152,0.95847636901888,0,0.4,0.01
25,1,0,0.512017152,0.5750858214113279,0,0.4,0.01
26,0,1,0.512017152,0.3450514928467967,0,0.4,0.01
27,1,1,0.3072102912,0.3450514928467967,1,0.4,0.01
28,1,0,0.3072102912,0.6070308957080781,0,0.4,0.01
29,1,1,0.3072102912,0.3642185374248469,1,0.4,0.01
30,1,0,0.3072102912,0.6185311224549082,1,0.4,0.01
1,0,1,0.5,0.5,0,0.5,0.01
2,1,1,0.25,0.5,1,0.5,0.01
3,0,1,0.25,0.75,0,0.5,0.01
4,0,0,0.125,0.75,1,0.5,0.01
5,0,1,0.5625,0.75,0,0.5,0.01
6,0,0,0.28125,0.75,1,0.5,0.01
7,0,1,0.640625,0.75,0,0.5,0.01
8,1,1,0.3203125,0.75,1,0.5,0.01
9,0,1,0.3203125,0.875,0,0.5,0.01
10,1,1,0.16015625,0.875,1,0.5,0.01
11,0,1,0.16015625,0.9375,0,0.5,0.01
12,1,1,0.080078125,0.9375,1,0.5,0.01
13,0,1,0.080078125,0.96875,0,0.5,0.01
14,0,1,0.0400390625,0.96875,0,0.5,0.01
15,0,0,0.02001953125,0.96875,1,0.5,0.01
16,1,1,0.510009765625,0.96875,1,0.5,0.01
17,1,1,0.510009765625,0.984375,1,0.5,0.01
18,0,1,0.510009765625,0.9921875,0,0.5,0.01
19,1,1,0.2550048828125,0.9921875,1,0.5,0.01
20,0,1,0.2550048828125,0.99609375,0,0.5,0.01
21,1,1,0.12750244140625,0.99609375,1,0.5,0.01
22,0,1,0.12750244140625,0.998046875,0,0.5,0.01
23,0,1,0.063751220703125,0.998046875,0,0.5,0.01
24,0,1,0.0318756103515625,0.998046875,0,0.5,0.01
25,0,1,0.01593780517578125,0.998046875,0,0.5,0.01
26,1,0,0.007968902587890625,0.998046875,0,0.5,0.01
27,0,0,0.007968902587890625,0.4990234375,1,0.5,0.01
28,1,0,0.5039844512939453,0.4990234375,0,0.5,0.01
29,0,0,0.5039844512939453,0.24951171875,1,0.5,0.01
30,1,1,0.7519922256469727,0.24951171875,1,0.5,0.01
1,0,1,0.5,0.5,0,0.6000000000000001,0.01
2,0,0,0.19999999999999996,0.5,1,0.6000000000000001,0.01
3,0,1,0.68,0.5,0,0.6000000000000001,0.01
4,0,0,0.27199999999999996,0.5,1,0.6000000000000001,0.01
5,1,0,0.7088000000000001,0.5,0,0.6000000000000001,0.01
6,1,1,0.7088000000000001,0.19999999999999996,1,0.6000000000000001,0.01
7,1,0,0.7088000000000001,0.68,0,0.6000000000000001,0.01
8,0,1,0.7088000000000001,0.27199999999999996,0,0.6000000000000001,0.01
9,0,1,0.28352,0.27199999999999996,0,0.6000000000000001,0.01
10,0,1,0.11340799999999998,0.27199999999999996,0,0.6000000000000001,0.01
11,1,1,0.04536319999999998,0.27199999999999996,1,0.6000000000000001,0.01
12,1,1,0.04536319999999998,0.7088000000000001,1,0.6000000000000001,0.01
13,1,1,0.04536319999999998,0.8835200000000001,1,0.6000000000000001,0.01
14,0,1,0.04536319999999998,0.953408,0,0.6000000000000001,0.01
15,0,0,0.018145279999999986,0.953408,1,0.6000000000000001,0.01
16,1,1,0.607258112,0.953408,1,0.6000000000000001,0.01
17,1,1,0.607258112,0.9813632,1,0.6000000000000001,0.01
